cohort_date,1st_purchase,>_1,>_2,>_3,>_4,>_5,>_6,>_7,>_8,>_9,>_10,>_11,>_12
2010-12-01,100.0,37.0,32.0,38.0,36.0,40.0,36.0,35.0,35.0,40.0,37.0,50.0,27.0
2011-01-01,100.0,22.0,27.0,23.0,32.0,29.0,25.0,24.0,30.0,33.0,36.0,12.0,0.0
2011-02-01,100.0,19.0,19.0,28.0,27.0,25.0,25.0,28.0,25.0,31.0,7.0,0.0,0.0
2011-03-01,100.0,15.0,25.0,20.0,22.0,17.0,27.0,23.0,28.0,9.0,0.0,0.0,0.0
2011-04-01,100.0,21.0,20.0,21.0,20.0,23.0,22.0,26.0,7.0,0.0,0.0,0.0,0.0
2011-05-01,100.0,19.0,17.0,17.0,21.0,23.0,26.0,10.0,0.0,0.0,0.0,0.0,0.0
2011-06-01,100.0,17.0,16.0,26.0,23.0,33.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-01,100.0,18.0,21.0,22.0,27.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-01,100.0,21.0,25.0,24.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-01,100.0,23.0,30.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-01,100.0,24.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-01,100.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-01,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
